,Name,Hospital Type,Address,Address_2,City,State,Zipcode,County,Latitude,Longitude,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds - SOURCE,Staffed ICU Beds - SOURCE,Licensed All Beds - SOURCE,All Bed Occupancy Rate - SOURCE,ICU Bed Occupancy Rate - SOURCE,CCM_ID,DH-ID,HCRIS-ID,HIFLD-ID,FIPS
2807,BAPTIST MEDICAL CENTER SOUTH,GENERAL ACUTE CARE,14550 OLD SAINT AUGUSTINE RD,,JACKSONVILLE,FL,32258,DUVAL,30.13878,-81.53538,322.0,35.0,226.0,0.6863354037267081,0.6285714285714286,FL AHCA 2020-11-27,FL AHCA 2020-11-27,HIFLD-BEDS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,2132258,,,2132258.0,12031
2808,THE GEORGIA CENTER FOR YOUTH,PSYCHIATRIC,GOOSE HOLLOW ROAD,,REYNOLDS,GA,31076,TAYLOR,32.54951,-84.15316999999999,,,,,,None,None,,None,None,21331076,,,21331076.0,13269
2809,BRYCE HOSPITAL,PSYCHIATRIC,200 UNIVERSITY BOULEVARD,,TUSCALOOSA,AL,35401,TUSCALOOSA,33.2163,-87.53815999999999,,,,,,None,None,,None,None,2135401,,,2135401.0,01125
2810,WILLIS-KNIGHTON SOUTH & CENTER FOR WOMEN'S HEALTH,GENERAL ACUTE CARE,2510 BERT KOUNS INDUSTRIAL LOOP,,SHREVEPORT,LA,71118,CADDO,32.404709999999994,-93.79555,,,,,,None,None,,None,None,21371118,,,21371118.0,22017
2811,METROPOLITAN NASHVILLE GENERAL HOSPITAL,GENERAL ACUTE CARE,1818 ALBION STREET,,NASHVILLE,TN,37208,DAVIDSON,36.166909999999994,-86.80656,114.0,22.0,150.0,0.25,0.25,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2137208,3474.0,440111.0,2137208.0,47037
2812,H. C. WATKINS MEMORIAL HOSPITAL,CRITICAL ACCESS,605 SOUTH ARCHUSA AVENUE,,QUITMAN,MS,39355,CLARKE,32.03053,-88.72596,25.0,,25.0,0.43,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2139355,2104.0,251316.0,2139355.0,28023
2813,KAISER FND HOSP-MODESTO,GENERAL ACUTE CARE,4601 DALE RD,,MODESTO,CA,95356,STANISLAUS,37.7056,-121.05016,152.0,,152.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,21395356,5678.0,,21395356.0,06099
2814,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,217 SOUTH THIRD STREET,,DANVILLE,KY,40422,BOYLE,37.64387,-84.773,170.0,22.0,197.0,0.42,0.35,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2140422,1534.0,180048.0,2140422.0,21021
2815,LAKELAND REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,1324 LAKELAND HILLS BLVD,,LAKELAND,FL,33805,POLK,28.06038,-81.95408,891.0,86.0,864.0,0.7474747474747475,0.6162790697674418,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21433805,842.0,100157.0,21433805.0,12105
2816,MARYMOUNT HOSPITAL,GENERAL ACUTE CARE,12300 MCCRACKEN ROAD,,GARFIELD HEIGHTS,OH,44125,CUYAHOGA,41.42116,-81.59803000000001,221.0,28.0,315.0,0.37,0.52,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2144125,2903.0,360143.0,2144125.0,39035
2817,WINN PARISH MEDICAL CENTER,GENERAL ACUTE CARE,301 W BOUNDARY AVE,,WINNFIELD,LA,71483,WINN,31.924509999999998,-92.64551,46.0,5.0,60.0,0.14,0.31,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21471483,1713.0,190090.0,21471483.0,22127
2818,CUBA MEMORIAL HOSPITAL,CRITICAL ACCESS,140 W MAIN ST,,CUBA,NY,14727,ALLEGANY,42.212920000000004,-78.28786,20.0,,20.0,0.3,,HCRIS-Total Staffed Beds,None,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,None,214727,4897.0,331301.0,214727.0,36003
2819,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,GENERAL ACUTE CARE,5601 WARREN PARKWAY,,FRISCO,TX,75034,COLLIN,33.104490000000006,-96.83783000000001,68.0,,68.0,0.61,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,21475034,3603.0,450853.0,21475034.0,48085
2820,DEACONESS HOSPITAL INC,GENERAL ACUTE CARE,600 MARY ST,,EVANSVILLE,IN,47747,VANDERBURGH,37.983740000000004,-87.57111,531.0,83.0,531.0,0.65,0.72,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2147747,1296.0,150082.0,2147747.0,18163
2821,MCLAREN BAY REGION,GENERAL ACUTE CARE,1900 COLUMBUS AVE,,BAY CITY,MI,48708,BAY,43.58822,-83.8684,297.0,32.0,356.0,0.59,0.73,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2148708,1854.0,230041.0,2148708.0,26017
2822,KAISER FND HOSPITAL - MORENO VALLEY,GENERAL ACUTE CARE,27300 IRIS AVENUE,,MORENO VALLEY,CA,92555,RIVERSIDE,33.89703,-117.186,94.0,10.0,94.0,0.42,0.66,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21492555,443.0,50765.0,21492555.0,06065
2823,MERCY MEDICAL CENTER-NEW HAMPTON,CRITICAL ACCESS,308 NORTH MAPLE AVENUE,,NEW HAMPTON,IA,50659,CHICKASAW,43.062709999999996,-92.32154,8.0,,18.0,0.39,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2150659,1328.0,161331.0,2150659.0,19037
2824,ST LUKES UNIVERSITY HOSPITAL - BETHLEHEM,GENERAL ACUTE CARE,801 OSTRUM STREET,,BETHLEHEM,PA,18015,LEHIGH,40.609359999999995,-75.39336,482.0,28.0,582.0,0.73,0.68,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21518015,3307.0,390049.0,21518015.0,42077
2825,SELECT SPECIALTY HOSPITAL - AUGUSTA,LONG TERM CARE,1537 WALTON WAY,,AUGUSTA,GA,30909,RICHMOND,33.47633,-81.99031,80.0,0.0,80.0,0.5597602739726028,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21530909,4831.0,112013.0,21530909.0,13245
2826,ASPIRE HEALTH PARTNERS,PSYCHIATRIC,1800 MERCY DR,,ORLANDO,FL,32808,ORANGE,28.567629999999998,-81.43424,56.0,0.0,90.0,0.5535714285714286,,FL AHCA 2020-11-27,FL AHCA 2020-11-27,HIFLD-BEDS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21532808,,104067.0,21532808.0,12095
2827,MINISTRY DOOR COUNTY MEDICAL CENTER,GENERAL ACUTE CARE,323 SOUTH 18TH AVENUE,,STURGEON BAY,WI,54235,DOOR,44.8327,-87.35334,25.0,4.0,25.0,0.45,0.54,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2154235,4145.0,521358.0,2154235.0,55029
2828,UNIVERSITY MEDICAL CTR MESABI,GENERAL ACUTE CARE,750 EAST 34TH STREET,,HIBBING,MN,55746,ST. LOUIS,47.408840000000005,-92.9299,73.0,4.0,175.0,0.54,0.51,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2155746,2066.0,240040.0,2155746.0,27137
2829,WK BOSSIER HEALTH CENTER,GENERAL ACUTE CARE,2400 HOSPITAL DR,,BOSSIER CITY,LA,71111,BOSSIER,32.55833,-93.71821,124.0,10.0,166.0,0.650641,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,21571111,1626.0,,21571111.0,22015
2830,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,CRITICAL ACCESS,300 WEST 5TH STREET,,MILLER,SD,57362,HAND,44.52005,-98.99228000000001,25.0,,25.0,0.11,,HCRIS-Total Staffed Beds,None,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,None,2157362,3427.0,431337.0,2157362.0,46059
2831,BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,GENERAL ACUTE CARE,12505 LEBANON ROAD,,FRISCO,TX,75035,COLLIN,33.11427,-96.77091,118.0,12.0,118.0,0.45,0.5,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21575035,3604.0,450885.0,21575035.0,48085
2832,LISBON AREA HEALTH SERVICES,CRITICAL ACCESS,905 MAIN ST,,LISBON,ND,58054,RANSOM,46.437329999999996,-97.68032,25.0,,25.0,0.38,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2158054,4860.0,351311.0,2158054.0,38073
2833,MISSOURI RIVER MEDICAL CENTER,CRITICAL ACCESS,1501 ST CHARLES ST,,FORT BENTON,MT,59442,CHOUTEAU,47.8204,-110.67228,25.0,,25.0,0.72,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2159442,2283.0,271304.0,2159442.0,30015
2834,KAISER FOUND HSP-ANTIOCH,GENERAL ACUTE CARE,4501 SAND CREEK ROAD,,ANTIOCH,CA,94531,CONTRA COSTA,37.950990000000004,-121.77514,138.0,16.0,150.0,0.49,0.29,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21594531,280.0,50760.0,21594531.0,06013
2835,SHRINERS HOSPITALS FOR CHILDREN-PHILADELPHIA,CHILDREN,3551 NORTH BROAD STREET,,PHILADELPHIA,PA,19140,PHILADELPHIA,40.006879999999995,-75.15124,49.0,,53.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,21619140,5640.0,,21619140.0,42101
2836,LAKESIDE MEDICAL CENTER,GENERAL ACUTE CARE,39200 HOOKER HWY,,BELLE GLADE,FL,33430,PALM BEACH,26.72427,-80.67111,70.0,6.0,70.0,0.42857142857142855,1.0,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21633430,815.0,100130.0,21633430.0,12099
2837,BATES COUNTY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,615 WEST NURSERY STREET,,BUTLER,MO,64730,BATES,38.24903,-94.34289,44.0,,60.0,0.2,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2164730,2183.0,260034.0,2164730.0,29013
2838,SUMNER COUNTY HOSPITAL,CRITICAL ACCESS,601 SOUTH OSAGE STREET,,CALDWELL,KS,67022,SUMNER,37.02613,-97.61026,25.0,,25.0,0.31,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2167022,5446.0,171329.0,2167022.0,20191
2839,WK PIERREMONT HEALTH CENTER,GENERAL ACUTE CARE,8001 YOUREE DR,8th Floor,SHREVEPORT,LA,71115,CADDO,32.431979999999996,-93.70904,30.0,,64.0,0.6936176,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,21671115,5715.0,,21671115.0,22017
2840,PARMER MEDICAL CENTER,CRITICAL ACCESS,1307 CLEVELAND STREET,,FRIONA,TX,79035,PARMER,34.64427,-102.72182,25.0,,25.0,0.11,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,21679035,4469.0,451300.0,21679035.0,48369
2841,KAISER PERMANENTE DOWNEY MEDICAL CENTER,GENERAL ACUTE CARE,9333 IMPERIAL HIGHWAY,,DOWNEY,CA,90242,LOS ANGELES,33.919509999999995,-118.12899999999999,352.0,38.0,352.0,0.54,0.39,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21690242,326.0,50139.0,21690242.0,06037
2842,CORNERSTONE HOSPITAL OF BOSSIER CITY,LONG TERM CARE,4900 MEDICAL DR,,BOSSIER CITY,LA,71112,BOSSIER,32.46056,-93.66962,43.0,8.0,62.0,0.7076139,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,2171112,5247.0,,2171112.0,22015
2843,CHICOT MEMORIAL HOSPITAL,CRITICAL ACCESS,2729 HIGHWAY 65 AND 82 SOUTH,,LAKE VILLAGE,AR,71653,CHICOT,33.3066,-91.29039,25.0,,25.0,0.36,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2171653,202.0,41328.0,2171653.0,05017
2844,DEKALB MEDICAL CENTER AT HILLANDALE,GENERAL ACUTE CARE,2801 DEKALB MEDICAL PARKWAY,,LITHONIA,GA,30058,DEKALB,33.705220000000004,-84.14798,90.0,8.0,100.0,0.57,0.77,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21730058,906.0,110226.0,21730058.0,13089
2845,ALLIANCEHEALTH DEACONESS,GENERAL ACUTE CARE,5501 NORTH PORTLAND AVENUE,,OKLAHOMA CITY,OK,73112,OKLAHOMA,35.52691,-97.58413,213.0,20.0,238.0,0.24501700823704706,0.4962574850299401,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2173112,3096.0,370032.0,2173112.0,40109
2846,LAKEWOOD RANCH MEDICAL CENTER,GENERAL ACUTE CARE,8330 LAKEWOOD RANCH BLVD,,BRADENTON,FL,34202,MANATEE,27.3906,-82.4354,114.0,9.0,120.0,0.6578947368421053,0.7777777777777778,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21734202,773.0,100299.0,21734202.0,12081
2847,KAISER FOUNDATION HOSPITAL - VACAVILLE,GENERAL ACUTE CARE,1 QUALITY DRIVE,,VACAVILLE,CA,95688,SOLANO,38.38863,-121.9391,140.0,16.0,140.0,0.5,0.49,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21795688,5679.0,50767.0,21795688.0,06095
2848,CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,LONG TERM CARE,"1900 PINE, 7TH FLOOR",7th Floor,ABILENE,TX,79601,TAYLOR,32.47235,-99.73328000000001,19.0,,23.0,0.7440519,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,2179601,5261.0,,2179601.0,48441
2849,BOULDER COMMUNITY FOOTHILLS HOSPITAL,GENERAL ACUTE CARE,4747 ARAPAHOE,,BOULDER,CO,80303,BOULDER,40.0163,-105.23625,139.0,18.0,167.0,0.53,0.67,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2180303,6011.0,60027.0,2180303.0,08013
2850,TYLER MEMORIAL HOSPITAL,GENERAL ACUTE CARE,880 SR 6,,TUNKHANNOCK,PA,18657,WYOMING,41.5776,-75.96941,44.0,6.0,44.0,0.06,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21818657,3341.0,390192.0,21818657.0,42131
2851,WYOMING RECOVER LLC,REHABILITATION,231 SOUTH WILSON,,CASPER,WY,82601,NATRONA,42.8479,-106.30712,,,,,,None,None,,None,None,2182601,,,2182601.0,56025
2852,LARGO MEDICAL CENTER,GENERAL ACUTE CARE,201 14TH ST SW,,LARGO,FL,33770,PINELLAS,27.91415,-82.80365,298.0,46.0,286.0,0.5637583892617449,0.7826086956521741,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21833770,829.0,100248.0,21833770.0,12103
2853,BOISE VA MEDICAL CENTER,MILITARY,500 FORT STREET,,BOISE,ID,83702,ADA,43.62122,-116.19028,,,85.0,,,None,None,HIFLD-BEDS,None,None,2183702,8.0,,2183702.0,16001
2854,DELTA COMMUNITY MEDICAL CENTER,CRITICAL ACCESS,126 SOUTH WHITE SAGE AVENUE,,DELTA,UT,84624,MILLARD,39.35005,-112.5611,18.0,,18.0,0.17,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2184624,3873.0,461300.0,2184624.0,49027
2855,NORTH TEXAS MEDICAL CENTER,GENERAL ACUTE CARE,1900 HOSPITAL BOULEVARD,,GAINESVILLE,TX,76240,COOKE,33.646359999999994,-97.16273000000001,36.0,5.0,60.0,0.32,0.49,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21876240,3613.0,450090.0,21876240.0,48097
2856,LEA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,5419 NORTH LOVINGTON HIGHWAY,,HOBBS,NM,88240,LEA,32.76232,-103.18491999999999,61.0,8.0,99.0,0.28,0.4,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2188240,2549.0,320065.0,2188240.0,35025
2857,SUMMERLIN HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE,657 NORTH TOWN CENTER DRIVE,,LAS VEGAS,NV,89144,CLARK,36.18103,-115.31703999999999,370.0,59.0,485.0,0.83,0.85,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2189144,2421.0,290041.0,2189144.0,32003
2858,KAISER ONTARIO MEDICAL CENTER CAMPUS,GENERAL ACUTE CARE,2295 S. VINEYARD AVENUE,,ONTARIO,CA,91761,SAN BERNARDINO,34.03208,-117.6086,224.0,,224.0,,,DH-NUM_STAFFE,None,DH-NUM_STAFFE,None,None,21891761,5961.0,,21891761.0,06071
2859,TYRONE HOSPITAL,GENERAL ACUTE CARE,187 HOSPITAL DRIVE,,TYRONE,PA,16686,BLAIR,40.674659999999996,-78.25233,25.0,5.0,25.0,0.13,0.05,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21916686,5192.0,391307.0,21916686.0,42013
2860,LARGO MEDICAL CENTER - INDIAN ROCKS,GENERAL ACUTE CARE,2025 INDIAN ROCKS RD,,LARGO,FL,33774,PINELLAS,27.898709999999998,-82.82486999999999,92.0,0.0,169.0,0.7717391304347826,,FL AHCA 2020-11-27,FL AHCA 2020-11-27,HIFLD-BEDS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,21933774,,,21933774.0,12103
2861,VA MEDICAL CENTER - LIVERMORE DIVISION,MILITARY,4951 ARROYO RD,,LIVERMORE,CA,94550,ALAMEDA,37.62555,-121.7631,715.0,,715.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,2194550,5675.0,,2194550.0,06001
2862,NORTH HAWAII COMMUNITY HOSPITAL,GENERAL ACUTE CARE,67-1125 MAMALAHOA HWY,,KAMUELA,HI,96743,HAWAII,20.02231,-155.66442,33.0,4.0,35.0,0.45,0.44,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2196743,993.0,120028.0,2196743.0,15001
2863,WOMEN'S & CHILDREN'S HOSPITAL,SPECIAL,4600 AMBASSADOR CAFFERY PKWY,,LAFAYETTE,LA,70508,LAFAYETTE,30.15268,-92.04621999999999,161.0,0.0,161.0,0.6155245187193301,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,21970508,4332.0,190205.0,21970508.0,22055
2864,LEGACY TRANSPLANT SERVICES,SPECIAL,"1015 NW 22ND AVENUE, W121",,PORTLAND,OR,97210,MULTNOMAH,45.53018,-122.69703,,,,,,None,None,,None,None,2197210,,,2197210.0,41051
2865,USMD HOSPITAL AT FORT WORTH,SPECIAL,5900 DIRKS ROAD,,FORT WORTH,TX,76132,TARRANT,32.64653,-97.41869,8.0,,8.0,0.14,,HCRIS-Total Staffed Beds,None,HIFLD-BEDS,HCRIS-Total Bed Occupancy Rate,None,21976132,,670046.0,21976132.0,48439
2866,BAYHEALTH KENT GENERAL HOSPITAL,GENERAL ACUTE CARE,640 S STATE ST,,DOVER,DE,19901,KENT,39.15079,-75.5237,281.0,29.0,281.0,0.72,0.88,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,219901,683.0,80004.0,219901.0,10001
2867,OTHELLO COMMUNITY HOSPITAL,CRITICAL ACCESS,315 14TH AVE N,,OTHELLO,WA,99344,ADAMS,46.83041,-119.15526000000001,16.0,,49.0,0.27,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2199344,3999.0,501318.0,2199344.0,53001
2868,KAISER PERMANENTE P.H.F - SANTA CLARA,PSYCHIATRIC,3840 HOMESTEAD ROAD,,SANTA CLARA,CA,95051,SANTA CLARA,37.33633,-122.00203,,,24.0,,,None,None,HIFLD-BEDS,None,None,21995051,,,21995051.0,06085
2869,CORDOVA COMMUNITY MEDICAL CENTER,CRITICAL ACCESS,602 CHASE AVE.,,CORDOVA,AK,99574,VALDEZ-CORDOVA,60.54125,-145.75065,13.0,,13.0,0.21,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,2199574,5015.0,21307.0,2199574.0,02261
2870,BASSETT ARMY COMMUNITY HOSPITAL,MILITARY,4076 NEELY RD,,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,64.8297,-147.66223,23.0,,23.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,22,5797.0,,22.0,02090
2871,HOSP ANDRES GRILLASCA INC (CENTRO DE ONCOLOGICA AVANZADA),SPECIAL,CENTRO MEDICO DE PONCE,,PONCE,PR,733,PONCE,18.03325,-66.59313,86.0,,86.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,2200733,4296.0,,2200733.0,72113
2872,DANA-FARBER CANCER INSTITUTE,GENERAL ACUTE CARE,450 BROOKLINE AVANUE,,BOSTON,MA,2115,SUFFOLK,42.33762,-71.10818,30.0,0.0,30.0,0.9528767123287673,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2202115,1839.0,220162.0,2202115.0,25025
2873,LARKIN COMMUNITY HOSPITAL,GENERAL ACUTE CARE,7031 SW 62ND AVE,,SOUTH MIAMI,FL,33143,MIAMI-DADE,25.7056,-80.29323000000001,114.0,8.0,146.0,0.5877192982456141,0.5,FL AHCA 2020-11-27,FL AHCA 2020-11-27,DH-NUM_LICENS,FL AHCA 2020-11-27,FL AHCA 2020-11-27,22033143,785.0,100181.0,22033143.0,12086
2874,NORTHEAST REHABILITATION HOSPITAL AT PEASE,REHABILITATION,105 CORPORATE DRIVE,,PORTSMOUTH,NH,3801,ROCKINGHAM,43.08551,-70.79943,20.0,,33.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,2203801,6456.0,,2203801.0,33015
2875,SAINT JOSEPH HOSPITAL,GENERAL ACUTE CARE,360 BROADWAY,,BANGOR,ME,4401,PENOBSCOT,44.81422,-68.77247,99.0,7.0,112.0,0.44,0.63,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2204401,1737.0,200001.0,2204401.0,23019
2876,MANCHESTER MEMORIAL HOSPITAL,GENERAL ACUTE CARE,71 HAYNES ST,,MANCHESTER,CT,6040,HARTFORD,41.78151,-72.52568000000001,140.0,32.0,140.0,0.59,0.57,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,2206040,661.0,70027.0,2206040.0,09003
2877,HILL COUNTRY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,1020 STATE HIGHWAY 16,,FREDERICKSBURG,TX,78624,GILLESPIE,30.262520000000002,-98.88184,57.0,10.0,84.0,0.36,0.24,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,22078624,3672.0,450604.0,22078624.0,48171
2878,KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,GENERAL ACUTE CARE,1100 SO. AKERS STREET,,VISALIA,CA,93277,TULARE,36.320840000000004,-119.34823,63.0,,63.0,,,DH-NUM_STAFFE,None,DH-NUM_LICENS,None,None,22093277,5954.0,,22093277.0,06107
2879,HOWARD COUNTY GENERAL HOSPITAL,GENERAL ACUTE CARE,5755 CEDAR LANE,,COLUMBIA,MD,21044,HOWARD,39.21436,-76.88587,245.0,16.0,245.0,0.79,0.64,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,221044,1763.0,210048.0,221044.0,24027
